RamanShift,NBS2
1289.85,0.000975537
1290.82,0.001043991
1291.78,0.001055338
1292.75,0.0010877
1293.71,0.00117468
1294.68,0.001273783
1295.64,0.001336827
1296.6,0.001369641
1297.57,0.001408436
1298.53,0.001480845
1299.5,0.001574539
1300.46,0.00166548
1301.42,0.001741335
1302.39,0.001795828
1303.35,0.00183221
1304.32,0.001871568
1305.28,0.001935587
1306.25,0.002027147
1307.21,0.002094464
1308.17,0.002097445
1309.14,0.002106424
1310.1,0.002180094
1311.07,0.002266069
1312.03,0.002343071
1313,0.00243241
1313.96,0.002534369
1314.92,0.002627232
1315.89,0.002738682
1316.85,0.002881405
1317.82,0.003036648
1318.78,0.003120971
1319.75,0.003112155
1320.71,0.003150021
1321.67,0.003262634
1322.64,0.00336282
1323.6,0.003425919
1324.57,0.003476504
1325.53,0.003514813
1326.5,0.003549913
1327.46,0.003603965
1328.42,0.003695658
1329.39,0.003796771
1330.35,0.003879369
1331.32,0.003952579
1332.28,0.004016549
1333.24,0.004086958
1334.21,0.004173061
1335.17,0.004265742
1336.14,0.004349013
1337.1,0.00439778
1338.07,0.004405392
1339.03,0.004428947
1339.99,0.004522217
1340.96,0.004624991
1341.92,0.004674155
1342.89,0.00469782
1343.85,0.004715309
1344.82,0.004742194
1345.78,0.004807459
1346.74,0.004920661
1347.71,0.005049882
1348.67,0.005141121
